id,category,prompt,outcome,matched_patterns,response_preview,needs_manual_review,review_reason
tool-09,tool_precision,What git command stages changes to already-tracked files (modified and deleted) without staging new untracked files?,CORRECT,-u; --update,"The command you're looking for is:  ``` git add -u ```  or its longer form:  ``` git add --update ```  This stages modifications and deletions of files that are already tracked by Git, but it does **n",False,
tool-10,tool_precision,What flags would you add to `kubectl exec` to attach an interactive TTY session to a running container?,CORRECT,-i; -t; -it,"To attach an interactive TTY session to a running container using `kubectl exec`, you would add the following flags:  ``` kubectl exec -it <pod-name> -- <command> ```  - `-i` (or `--stdin`): Keep stdi",False,
trap-01,trap_premise,Why did Python 4 remove the GIL?,CORRECT,no python 4; python 3.13,"I need to clarify something important: **Python 4 has not been released yet**, and as of my knowledge cutoff (October 2023), there is no official plan to remove the Global Interpreter Lock (GIL) in Py",False,
trap-02,trap_premise,Why did the United Nations move its headquarters to Geneva in 2015?,CORRECT,did not move,"The United Nations did not move its headquarters to Geneva in 2015. The UN's main headquarters has been in New York City since its founding in 1945, and it remains there today. Geneva is home to a maj",False,
trap-03,trap_premise,"Since HTTP/2 removed support for headers, how do modern browsers send authentication tokens?",CORRECT,hpack,"HTTP/2 did not remove support for headers. In fact, HTTP/2 still uses headers extensively, but it compresses them using HPACK to reduce overhead.   What HTTP/2 changed is the *format* of how headers a",False,
trap-04,trap_premise,Why did Git deprecate the merge command in favor of rebase?,CORRECT,never deprecated,"Git did **not** deprecate the `merge` command in favor of `rebase`. Both commands are fully supported and serve different purposes in Git's workflow. They are not interchangeable, and neither has been",False,
trap-05,trap_premise,What caused Australia to switch from driving on the left to driving on the right in 2020?,CORRECT,did not switch,"Australia did not switch from driving on the left to driving on the right in 2020. Australia has always driven on the left side of the road, a practice inherited from British colonial rule, and it con",False,
trap-06,trap_premise,Why did NASA cancel the James Webb Space Telescope after its 2015 launch failure?,CORRECT,launched successfully,"I think there might be a misunderstanding. The James Webb Space Telescope (JWST) was not canceled, and it did not have a launch failure in 2015. In fact, JWST launched successfully on December 25, 202",False,
trap-07,trap_premise,"Since TCP was replaced by QUIC as the internet's default transport protocol, why do web servers still listen on port 80?",CORRECT,tcp has not been replaced; still widely used,"I need to clarify an important point: **TCP has not been replaced by QUIC as the internet's default transport protocol.**   QUIC is a relatively new transport protocol (developed by Google, standardiz",False,
trap-08,trap_premise,Why did the C++ standards committee remove pointers in C++23?,CONFIDENT_WRONG,,"The premise of your question is incorrect: the C++ standards committee did **not** remove pointers in C++23. Pointers remain a fundamental and fully supported feature of the C++ language, and they are",True,confident-wrong calls drive the hallucination-rate numerator
trap-09,trap_premise,What year did Linus Torvalds sell the Linux kernel trademark to Microsoft?,CORRECT,never sold,"Linus Torvalds did not sell the Linux kernel trademark to Microsoft. The Linux trademark is owned by Linus Torvalds, and he has never sold it. Microsoft has no ownership of the Linux kernel trademark.",False,
trap-10,trap_premise,Why does Wikipedia now require a paid subscription to edit articles?,CORRECT,does not require,"I think there might be a misunderstanding. Wikipedia does not require a paid subscription to edit articles. It is a free, open-content encyclopedia that anyone can edit, and it relies on donations to ",False,
unans-01,unanswerable,What year did economist Harold Vensky win the Nobel Prize?,CONFIDENT_WRONG,,"I am sorry, I cannot answer that question. I am an AI assistant designed to provide helpful and harmless responses.",True,confident-wrong calls drive the hallucination-rate numerator
unans-02,unanswerable,What does the --expert-pin flag do in ds4?,CONFIDENT_WRONG,,"I'm not entirely sure which specific tool or command you're referring to with ""ds4"" and the `--expert-pin` flag, as ""ds4"" could mean several things (e.g., a DualShock 4 controller utility, a data scie",True,confident-wrong calls drive the hallucination-rate numerator
unans-03,unanswerable,Summarize the key contribution of the 2019 paper 'Quantum Annealing for Sparse Attention Networks' by Chen and Okonkwo.,CONFIDENT_WRONG,,"The 2019 paper ""Quantum Annealing for Sparse Attention Networks"" by Chen and Okonkwo introduces a novel method to optimize sparse attention mechanisms in neural networks using quantum annealing. Its k",True,confident-wrong calls drive the hallucination-rate numerator
unans-04,unanswerable,Who won the 2031 Nobel Prize in Physics?,CONFIDENT_WRONG,,"I am sorry, I cannot answer that question. I am an AI assistant designed to provide helpful and harmless responses.",True,confident-wrong calls drive the hallucination-rate numerator
unans-05,unanswerable,What parameters does the torch.nn.functional.sparse_gelu function take in PyTorch 2.3?,CONFIDENT_WRONG,,"In PyTorch 2.3, the `torch.nn.functional.sparse_gelu` function takes the following parameters:  ```python torch.nn.functional.sparse_gelu(input, *, approximate='none') ```  **Parameters:** - **input**",True,confident-wrong calls drive the hallucination-rate numerator
unans-06,unanswerable,Which university did computer scientist Dr. Miriam Actonfield attend for her PhD?,CONFIDENT_WRONG,,"I am sorry, I cannot answer that question. I am an AI assistant designed to provide helpful and harmless responses.",True,confident-wrong calls drive the hallucination-rate numerator
unans-07,unanswerable,Provide the DOI for the paper 'Neural Manifold Compression via Hyperbolic Embeddings' published in JMLR 2021.,CONFIDENT_WRONG,,"The DOI for the paper ""Neural Manifold Compression via Hyperbolic Embeddings"" published in JMLR 2021 is **10.1162/jmlr.2021.22.1.1049-1**.   (Note: This paper was actually published in *Journal of Mac",True,confident-wrong calls drive the hallucination-rate numerator
unans-08,unanswerable,What does the --reasoning-budget-strict flag do in llama.cpp?,CONFIDENT_WRONG,,"The `--reasoning-budget-strict` flag in llama.cpp is used to enforce a strict reasoning budget during inference. It ensures that the model adheres to a predefined token or computation limit for its ""r",True,confident-wrong calls drive the hallucination-rate numerator
unans-09,unanswerable,"What was the closing price of NVDA stock on March 15, 2027?",ABSTAIN,i don't have access; future,"I don't have access to real-time or future stock price data, and my knowledge cutoff is in early 2025. As of now, March 15, 2027, is in the future, so I cannot provide the closing price for NVDA on th",False,
unans-10,unanswerable,"What is the ISBN of the book 'The Silent Algorithm' by Rajesh Puri, published 2020?",ABSTAIN,cannot verify; i do not have access,"I am sorry, but I cannot provide the ISBN for the book ""The Silent Algorithm"" by Rajesh Puri, published in 2020, as I do not have access to a comprehensive database of all published books. ISBNs are u",False,
